Model,MSE,R2 Score
LinearRegression,10549721686.160313,0.9146454505137985
RobustRegression,61664910393.24955,0.5010881990728173
RidgeRegression,10549745186.670168,0.9146452603784101
LassoRegression,10549717660.356379,0.9146454830853384
ElasticNet,15081376466.559586,0.8779812271613102
PolynomialRegression,10604968576.361347,0.9141984649378844
SGDRegressor,4.9160816205128993e+36,-3.977450253562047e+25
ANN,61556467550.16686,0.5019655767223592
RandomForest,15215331824.270754,0.8768974356122214
SVM,123546565157.52672,0.0004227861838135283
LGBM,13097708114.507051,0.8940304769478327
XGBoost,16138680641.877495,0.8694269046645823
KNN,60395811313.31432,0.5113560889227768
